Book1,Book2,baseline,nlp_only,equal,vocabulary_focused,structure_focused
COL,1TH,0.47774706074409284,0.3204097284842125,0.4998319101736144,0.5087164939317497,0.6566954947702315
COL,2TH,0.37578278917813923,0.3801982187800415,0.41467573658250406,0.3543487522035087,0.6119902265778274
COL,1TI,0.26074945813359723,0.494438796042435,0.09737966465019204,0.6588034649207748,-0.43469637635432873
COL,2TI,0.2593250271330177,0.5315927364985765,0.10961411615451444,0.6295742069480329,-0.37509743126665235
COL,EPH,0.5679315781285712,0.4268799320019128,0.5975570392646021,0.5951424092001196,0.7947872468347156
COL,MRK,-0.3549860582485709,0.09901722067721137,-0.3664485035575518,-0.3860239629272846,-0.46219788247381466
COL,ACT,-0.5314534193596773,-0.061175093646899326,-0.562271772524025,-0.5517281719327398,-0.7593343506212138
COL,1PE,0.06259194927378658,0.19686568099444923,0.011514908638306454,0.18456587824056817,-0.16502212189577972
COL,JHN,-0.5548137530730379,0.042046748379392956,-0.5731137623674237,-0.6047082519735176,-0.7262602020361564
COL,LUK,-0.5348707844132903,0.019998727121700782,-0.5484826280404737,-0.5917326735362801,-0.6820922803745411
COL,HEB,-0.028316118923026906,-0.07641753168170717,0.013928931930335231,-0.1267515661953316,0.15079942162916307
COL,REV,-0.20900814773913917,0.27308946864884903,-0.2602617027569708,-0.13128023120009122,-0.4669802888694867
COL,MAT,-0.5940514433512545,-0.07783827197003279,-0.6063519144779108,-0.6638030880907209,-0.7455570728347324
COL,JUD,-0.12895406522871836,0.26565593897233425,-0.21166804863988242,0.029481463667491298,-0.5253865635196525
COL,JAS,-0.0888542308267676,0.1635314429521124,-0.2032251176993145,0.14825241649293416,-0.6256467128666913
COL,2JN,-0.11880442839161173,0.12589713059369156,-0.1530831994616941,-0.06813845864949825,-0.29302515947524027
COL,1JN,-0.31351719420931967,0.30568033194904454,-0.37201508528939553,-0.238709535061395,-0.6226521436297001
COL,3JN,-0.12449636558735278,0.12147140658581314,-0.1308037656527383,-0.13080033924912177,-0.17482681974848568
COL,2PE,0.32499760180549797,0.1683207414320126,0.3682215605782725,0.28114562219552863,0.5687332198470846
1TH,2TH,0.4338099043309601,0.3457064733560139,0.46673682970308644,0.4341222296900374,0.6543738101193243
1TH,1TI,-0.04797755171944432,0.15637480510408425,-0.15686029235108223,0.18369266377695492,-0.5471968788134511
1TH,2TI,0.054022820518593334,0.19646157049092894,-0.04528998334277265,0.2839314605903841,-0.38443679928397256
1TH,EPH,0.6545684098033362,0.14529062571627183,0.6563349006028272,0.7585132330068937,0.7695062965364745
1TH,MRK,-0.27449625559272767,0.11514990565155749,-0.3158193143778539,-0.2296780264785153,-0.5061045596412868
1TH,ACT,-0.4295415707304551,0.008030494043014008,-0.4769218605775738,-0.39596750499512834,-0.7153903140855227
1TH,1PE,-0.09143013190901558,0.04345622961974177,-0.12889305371005375,-0.019163069347310685,-0.27851565268997014
1TH,JHN,-0.2566311393714333,0.18971879852597298,-0.34621864623616877,-0.10318338802205237,-0.7028885956910634
1TH,LUK,-0.3651517617219766,0.029730675643616256,-0.4088911596323458,-0.3308619701914064,-0.6229466718027853
1TH,HEB,0.021419222124544363,0.11189849753506231,0.06494465359406187,-0.06842679100820698,0.21560693895922878
1TH,REV,-0.09941890576839169,0.4590152835705202,-0.1671832364292357,0.035589158144039595,-0.41808704664195123
1TH,MAT,-0.37765207207102813,0.18279433652173174,-0.45228319434417236,-0.2761765421724979,-0.778030513753653
1TH,JUD,-0.18907568790097315,0.11315168588129171,-0.23812194943038806,-0.11262025188384694,-0.440573373593938
1TH,JAS,-0.17056134671195183,0.17076868365809836,-0.26853251003121836,0.015100568840436368,-0.6446631697290507
1TH,2JN,-0.1711698756825015,0.1668325873482958,-0.13309748889994327,-0.2886375297602984,-0.027219229450837424
1TH,1JN,-0.06271409474256405,0.42578187377201293,-0.18609915286539003,0.19608969041412067,-0.6279488716903457
1TH,3JN,-0.2807424485248914,0.04716060712533349,-0.2621869224988641,-0.37020489945324975,-0.24325682656041958
1TH,2PE,0.2976784878447535,0.16662068954117193,0.34253377135068364,0.24927363811655112,0.5431654343537443
2TH,1TI,-0.1002325167117983,0.2178082650860379,-0.21240492614589773,0.12873968046745451,-0.6234066604556446
2TH,2TI,0.06029778184257861,0.4650024793370879,-0.04780176630098534,0.30850956301713955,-0.41803037461070913
2TH,EPH,0.15075571256966142,0.33725202507725427,0.21354529779664186,0.040687376882041534,0.4608947252217684
2TH,MRK,-0.5339660416216729,-0.04216135464788745,-0.46770147039145193,-0.7677139439186568,-0.3216106594429721
2TH,ACT,-0.6255418783808842,0.043505229029526526,-0.6096081640817861,-0.764901102693617,-0.6538116366138422
2TH,1PE,0.0886443014894785,0.3269198441049551,0.008816496513655986,0.2808880442991557,-0.25670052210344285
2TH,JHN,-0.550262373045127,0.10315213610440223,-0.5679070299145914,-0.6016890076183845,-0.718070753282337
2TH,LUK,-0.557270955303806,0.012915555947744933,-0.5137422378237396,-0.7467832094708318,-0.4512409981347004
2TH,HEB,-0.3432175243128506,0.1422641035553113,-0.29984832573744646,-0.48993868021797027,-0.20386173366491245
2TH,REV,-0.5212854744971476,0.13360051640268145,-0.5325701181787031,-0.5793491019318888,-0.6547724024090373
2TH,MAT,-0.6126641969412103,-0.05551936549124725,-0.6113844245783244,-0.7163478850312484,-0.7065711280841754
2TH,JUD,0.32509711761464166,0.45905181774264076,0.21617658889018188,0.6113593252645335,-0.11458573523229557
2TH,JAS,-0.034822028506643704,0.40209309593387005,-0.13758773642224242,0.1834185229484177,-0.5028637242606975
2TH,2JN,0.11017324169894235,0.028575210928585365,0.012744282537955176,0.33777493107283474,-0.3144873660486658
2TH,1JN,-0.4688008204298867,0.1665149626870592,-0.5269409536156031,-0.4182727530342506,-0.80521649775095
2TH,3JN,0.23418498431962342,0.11770977720964318,0.15776418978257734,0.438406013142236,-0.07477239201912396
